,Currency Name,Currency Price,Currency 1h change,Currency 24h change,Currency 7d change
0,lidxv98nb5c,0.5646789148536882,0.21385419300924524,0.280796540886765,0.12462299257844944
1,14y1m13i97m,0.3487710800778767,0.4822835383090158,0.16772887417847837,0.6353000342597122
2,cboiu6wrkn6,0.3066481800732641,0.19809538130898519,0.5603157281870585,0.7393332722168979
3,ga2j3mqblbf,0.5727478883293262,0.9356492958483595,0.6759754451925473,0.996132819696202
4,3qd1dsivzrb,0.5751079201174634,0.1094799795977186,0.16200419338078742,0.8720945018548425
5,xnc4r7q6hh,0.41264604529110804,0.15718002614629611,0.38658627735606,0.5855339612717962
6,7m0hzmzfmsn,0.21155209835389965,0.9707923250704953,0.8512880584575719,0.48829285633662134
7,8tqvshynvql,0.6601512254235953,0.5198424335148164,0.5671624105529642,0.14597239414356156
8,v2710q6jxz9,0.8301692521225204,0.8557036364361694,0.5275179681597286,0.24367921166028395
9,2jk93fa2dtj,0.4574359799609844,0.19058396445818215,0.5776493540840135,0.969923181180069
